2015-08-01 08:00:00+02;10957;1339;3.000000
2015-08-01 09:55:31+02;11108;1339;0.634045
2015-08-01 10:27:25+02;11172;1339;0.156529
2015-08-01 11:02:43+02;11150;1339;0.249099
2015-08-01 11:48:16+02;11152;1339;0.327157
2015-08-01 12:20:23+02;11238;1339;0.118331
2015-08-01 12:52:37+02;11320;1339;0.138758
2015-08-01 13:33:03+02;11405;1339;0.146112
2015-08-01 14:34:02+02;11498;1339;0.218380
2015-08-01 15:09:58+02;11573;1339;0.144808
2015-08-01 16:02:10+02;11648;1339;0.304853
2015-08-01 18:11:52+02;11862;1339;0.644239
2015-08-01 19:45:57+02;12024;1339;0.346079
2015-08-02 08:00:00+02;12074;1339;0.158370
2015-08-02 10:18:45+02;12202;1339;0.609731
2015-08-02 11:45:18+02;12357;1339;0.287717
2015-08-02 12:28:50+02;12422;1339;0.176188
2015-08-02 13:46:47+02;12427;1339;0.553880
2015-08-02 15:04:02+02;12510;1339;0.420903
2015-08-02 18:11:38+02;12196;1339;0.675623
2015-08-03 08:00:00+02;12157;1339;1.162344
2015-08-03 09:36:13+02;12045;1339;0.366469
2015-08-03 10:32:29+02;11975;1339;0.284600
2015-08-03 11:18:08+02;11885;1339;0.049846
2015-08-03 12:11:48+02;11767;1339;0.000000
2015-08-03 13:10:44+02;11679;1339;2.200239
2015-08-03 13:43:19+02;11615;1339;0.000000
2015-08-03 14:58:00+02;11483;1339;0.992495
2015-08-03 15:54:46+02;11443;1339;0.000000
2015-08-03 18:37:20+02;11136;1339;0.000000
2015-08-03 18:47:13+02;11151;1339;0.000000
