2015-08-01 08:00:00+02;10957;1469;0.788491
2015-08-01 09:55:31+02;11108;1439;0.002083
2015-08-01 10:27:25+02;11172;1419;0.960817
2015-08-01 11:02:43+02;11150;1419;0.000000
2015-08-01 11:48:16+02;11152;1459;0.000000
2015-08-01 12:20:23+02;11238;1399;0.395445
2015-08-01 12:52:37+02;11320;1449;0.000000
2015-08-01 13:33:03+02;11405;1459;0.107126
2015-08-01 14:34:02+02;11498;1409;3.000000
2015-08-01 15:09:58+02;11573;1439;0.000000
2015-08-01 16:02:10+02;11648;1419;0.000000
2015-08-01 18:11:52+02;11862;1439;0.000000
2015-08-01 19:45:57+02;12024;1449;0.000000
2015-08-02 08:00:00+02;12074;1489;0.287644
2015-08-02 10:18:45+02;12202;1479;0.179712
2015-08-02 11:45:18+02;12357;1429;1.656394
2015-08-02 12:28:50+02;12422;1429;0.000000
2015-08-02 13:46:47+02;12427;1459;0.000000
2015-08-02 15:04:02+02;12510;1439;1.179546
2015-08-02 18:11:38+02;12196;1469;0.544987
2015-08-03 08:00:00+02;12157;1459;0.400127
2015-08-03 09:36:13+02;12045;1479;0.250942
2015-08-03 10:32:29+02;11975;1449;0.176854
2015-08-03 11:18:08+02;11885;1439;0.174534
2015-08-03 12:11:48+02;11767;1425;2.534278
2015-08-03 13:10:44+02;11679;1469;0.059523
2015-08-03 13:43:19+02;11615;1529;0.000000
2015-08-03 14:58:00+02;11483;1464;0.000000
2015-08-03 15:54:46+02;11443;1429;0.000000
2015-08-03 18:37:20+02;11136;1419;0.000000
2015-08-03 18:47:13+02;11151;1389;0.000000
