3
2018-09-30 23:00:00+00;14187
2018-09-30 23:10:01+00;14013
2018-09-30 23:50:33+00;13771
2018-10-01 00:42:25+00;13725
2018-10-01 01:35:20+00;13549
2018-10-01 01:52:31+00;13136
2018-10-01 02:08:58+00;12569
2018-10-01 02:38:54+00;12021
2018-10-01 02:59:03+00;11243
2018-10-01 03:49:36+00;10562
2018-10-01 04:27:36+00;10448
2018-10-01 05:18:01+00;10213
2018-10-01 05:49:11+00;9750
2018-10-01 06:10:32+00;9538
2018-10-01 06:22:12+00;9305
2018-10-01 06:31:23+00;9164
2018-10-01 06:53:01+00;8942
2018-10-01 07:14:03+00;8701
2018-10-01 07:25:50+00;8476
2018-10-01 07:42:00+00;8198
2018-10-01 07:49:37+00;7829
