3
2017-12-31 23:00:00+00;14187
2017-12-31 23:12:53+00;14013
2017-12-31 23:55:39+00;13771
2018-01-01 00:47:32+00;13725
2018-01-01 01:41:03+00;13549
2018-01-01 02:03:15+00;13136
2018-01-01 02:24:44+00;12569
2018-01-01 03:01:32+00;12021
2018-01-01 03:33:37+00;11243
2018-01-01 04:11:52+00;10748
2018-01-01 04:29:27+00;10562
2018-01-01 05:07:31+00;10448
2018-01-01 05:57:55+00;10213
2018-01-01 06:29:41+00;9750
2018-01-01 06:51:48+00;9538
2018-01-01 07:06:26+00;9305
2018-01-01 07:17:11+00;9164
2018-01-01 07:40:43+00;8942
2018-01-01 08:03:53+00;8701
2018-01-01 08:18:35+00;8476
2018-01-01 08:36:53+00;8198
2018-01-01 08:49:54+00;7829
